,Game_ID,Home_or_Away,Result,Panthers_Goals,Opponent_Goals,Panthers_PIM,Panthers_Shots,Panthers_Power_Play_%,Panthers_Power_Play_Goals,Panthers_Power_Play_Opportunities,Panthers_FOW%,Panthers_Blocked_Shots,Panthers_Takeaways,Panthers_Giveaways,Panthers_Hits,Opponent_PIM,Opponent_Shots,Opponent_Power_Play_%,Opponent_Power_Play_Goals,Opponent_Power_Play_Opportunities,Opponent_FOW%,Opponent_Blocked_Shots,Opponent_Takeaways,Opponent_Giveaways,Opponent_Hits
273,2017010078,Home,Win,4,2,16,33,25.0,1.0,4.0,57.1,7,15,11,21,12,40,0.0,0.0,5.0,42.9,10,8,9,19
274,2017010092,Home,Win,5,2,10,33,0.0,0.0,2.0,46.9,11,6,10,22,6,36,25.0,1.0,4.0,53.1,7,0,11,23
275,2017010093,Away,Loss,1,3,32,23,0.0,0.0,5.0,39.6,12,5,15,27,24,23,0.0,0.0,4.0,60.4,15,12,19,18
276,2017020014,Away,Loss,3,5,6,36,0.0,0.0,4.0,51.5,12,3,8,20,8,25,33.3,1.0,3.0,48.5,17,9,7,26
277,2017020018,Home,Win,5,4,23,48,25.0,1.0,4.0,50.7,13,15,13,14,19,30,16.7,1.0,6.0,49.3,13,5,13,26
278,2017020052,Home,Win,5,2,25,38,20.0,1.0,5.0,55.1,13,14,13,18,25,39,20.0,1.0,5.0,44.9,11,4,9,13
279,2017020067,Away,Loss,3,4,6,46,20.0,1.0,5.0,58.7,17,7,9,23,10,33,33.3,1.0,3.0,41.3,6,11,2,21
280,2017020083,Away,Loss,1,5,13,41,16.7,1.0,6.0,43.1,10,7,5,22,17,39,25.0,1.0,4.0,56.9,22,5,10,13
281,2017020107,Home,Loss,3,4,8,31,0.0,0.0,2.0,58.1,13,5,9,20,4,48,75.0,3.0,4.0,41.9,16,5,8,21
282,2017020116,Away,Win,4,1,8,23,33.3,2.0,6.0,55.8,24,11,4,14,12,42,0.0,0.0,4.0,44.2,11,7,17,12
283,2017020130,Away,Loss,1,5,8,27,0.0,0.0,2.0,45.8,23,4,20,35,4,37,50.0,2.0,4.0,54.2,12,9,11,24
284,2017020145,Home,Win,8,3,11,22,33.3,1.0,3.0,37.7,11,9,20,12,11,34,0.0,0.0,3.0,62.3,3,4,14,21
285,2017020160,Home,OT Loss,2,3,11,46,16.7,1.0,6.0,54.9,14,6,27,12,17,38,0.0,0.0,3.0,45.1,13,10,13,18
286,2017020174,Home,Loss,5,8,15,23,0.0,0.0,3.0,50.7,12,16,14,14,11,38,40.0,2.0,5.0,49.3,15,12,17,8
287,2017020190,Home,Loss,3,7,12,34,0.0,0.0,1.0,62.9,10,6,18,23,6,40,50.0,2.0,4.0,37.1,7,12,12,9
288,2017020203,Home,OT Loss,4,5,6,34,0.0,0.0,2.0,54.7,11,9,18,16,4,44,33.3,1.0,3.0,45.3,16,6,10,11
289,2017020227,Away,Loss,1,3,12,31,50.0,1.0,2.0,53.1,25,5,11,31,6,48,0.0,0.0,5.0,46.9,13,14,12,13
290,2017020242,Away,Win,4,1,15,31,0.0,0.0,3.0,40.4,11,5,8,16,15,25,50.0,1.0,2.0,59.6,15,6,7,23
291,2017020254,Away,Loss,1,2,8,33,0.0,0.0,4.0,67.3,9,11,8,17,10,21,50.0,1.0,2.0,32.7,12,13,10,20
292,2017020269,Home,Win,4,3,11,29,40.0,2.0,5.0,50.0,8,3,20,13,17,43,0.0,0.0,2.0,50.0,8,4,10,15
293,2017020289,Away,Win,2,0,4,28,0.0,0.0,1.0,48.5,18,20,14,22,2,35,0.0,0.0,2.0,51.5,12,23,20,19
